doc_id,nama_dokumen,bab,bagian,pasal,angka,ayat,isi,penjelasan
DOC100,Permendag Nomor 59 Tahun 2020.txt,,,Pasal 1,3,,Nomor Induk Berusaha yang selanjutnya disingkat NIB adalah identitas Pelaku Usaha yang diterbitkan oleh Lembaga OSS setelah Pelaku Usaha melakukan Pendaftaran.,
DOC100,Permendag Nomor 59 Tahun 2020.txt,,,Pasal 1,4,,Angka Pengenal Importir Produsen yang selanjutnya disingkat API-P adalah tanda pengenal sebagai importir produsen.,
DOC100,Permendag Nomor 59 Tahun 2020.txt,,,Pasal 1,5,,"Barang Komplementer adalah barang manufaktur yang diimpor oleh perusahaan pemilik API-P dengan tujuan untuk melengkapi lini produk, yang berasal dari dan dihasilkan oleh perusahaan di luar negeri yang memiliki hubungan istimewa dengan perusahaan pemilik API-P.",
DOC100,Permendag Nomor 59 Tahun 2020.txt,,,Pasal 1,6,,Barang untuk Keperluan Tes Pasar adalah barang manufaktur yang diimpor dan belum dapat diproduksi oleh perusahaan pemilik API-P dengan tujuan untuk mengetahui reaksi pasar dan digunakan dalam rangka pengembangan usahanya dalam jangka waktu tertentu.,
DOC100,Permendag Nomor 59 Tahun 2020.txt,,,Pasal 1,7,,"Barang untuk keperluan Pelayanan Purna Jual adalah barang manufaktur yang diimpor oleh perusahaan pemilik API-P dengan tujuan untuk menjamin ketersediaan suku cadang, produk pengganti, dan penggantian produk yang terkait dengan produk utamanya.",
DOC100,Permendag Nomor 59 Tahun 2020.txt,,,Pasal 1,8,,Hubungan Istimewa adalah hubungan antara perusahaan pemilik API dengan perusahaan yang berada di luar negeri dimana salah satu pihak mempunyai kemampuan mengendalikan pihak lain atau mempunyai pengaruh signifikan atas pihak lain sesuai standar akuntansi yang berlaku.,
DOC100,Permendag Nomor 59 Tahun 2020.txt,,,Pasal 1,9,,"Persetujuan Impor adalah persetujuan yang digunakan sebagai izin untuk melakukan Impor Barang Komplementer, Barang untuk keperluan Tes Pasar, dan Pelayanan Purna Jual.",
DOC100,Permendag Nomor 59 Tahun 2020.txt,,,Pasal 1,10,,Dihapus.,
DOC100,Permendag Nomor 59 Tahun 2020.txt,,,Pasal 1,11,,Menteri adalah menteri yang menyelenggarakan urusan pemerintahan di bidang perdagangan.,
DOC100,Permendag Nomor 59 Tahun 2020.txt,,,Pasal 1,12,,"Direktur Jenderal adalah Direktur Jenderal Perdagangan Luar Negeri, Kementerian Perdagangan.",
DOC100,Permendag Nomor 59 Tahun 2020.txt,,,Pasal 1,13,,Hak Akses adalah hak yang diberikan untuk melakukan interaksi dengan sistem elektronik yang berdiri sendiri atau dengan jaringan.,
DOC100,Permendag Nomor 59 Tahun 2020.txt,,,Pasal 1,2,,"Di antara Pasal 2 dan Pasal 3 disisipkan 1 (satu) pasal, yakni Pasal 2A sehingga berbunyi sebagai berikut:",
DOC100,Permendag Nomor 59 Tahun 2020.txt,,,Pasal 2,,1,"Sektor/Subsektor yang dapat mengimpor Barang Manufaktur, dan Barang Manufaktur yang dapat diimpor sebagai Barang Komplementer sebagaimana tercantum dalam Lampiran I yang merupakan bagian tidak terpisahkan dari Peraturan Menteri ini.",
